author,cited by
"Dorrington, R.","Namgay, P."
"National Statistics Bureau, Royal Government of Bhutan.","Namgay, P."
"Palmore, J.","Namgay, P."
"Schertmann, C.","Namgay, P."
"Agree, E.","Parcon, C."
"Biddlecom, A.","Parcon, C."
"Chang, M.","Parcon, C."
"Atchley, R.","Parcon, C."
"Cruz, G.","Parcon, C."
"De Guzman, E.","Parcon, C."
"Medina, B.","Parcon, C."
"Feranil, I.","Parcon, C."
"Hermalin, A.","Parcon, C."
"Hooyman, N.","Parcon, C."
"Kiyak, H.","Parcon, C."
"Liang, J.","Parcon, C."
"Knodel, J.","Parcon, C."
"Peterson, J. T.","Parcon, C."
"Battistella, G.","Prudencio, M."
"Carino, B.","Prudencio, M."
"De Jong, G. F.","Prudencio, M."
"Maccoby, E. E.","Prudencio, M."
"Martin, S.","Prudencio, M."
"Herrin, A.","Reyes, D."
Joint Economic Committee of the US,"Reyes, D."
"Kpedepko, K.","Reyes, D."
"Salleh, A.","Reyes, D."
United Nations,"Reyes, D."
"Caselli, G.","Rodriguez, M."
"Wunsch, G.","Rodriguez, M."
"Mosley, W.","Rodriguez, M."
Macro International Inc.,"Rodriguez, M."
"Choe, M.","Sasota, R."
"Easterlin, R.","Sasota, R."
"Khan, M.","Sasota, R."
National Statistical Coordination Board,"Sasota, R."
National Statistics Office,"Sasota, R."
"Oyediran, K.","Sasota, R."
"Bogunjoko, J.","Sasota, R."
"Adeyemo, J.","Sasota, R."
"Natividad, J.","Tabaco, R."
Demographic and Health Surveys Program,"Tabaco, R."
Demographic Research and Development Foundation,"Tabaco, R."
University of the Philippines Population institute,"Tabaco, R."
"Ericta, C.","Tabaco, R."
"Filmer, D.","Tabaco, R."
"Pritchett, L.","Tabaco, R."
Oxford Poverty,"Tabaco, R."
Human Development Initiative,"Tabaco, R."
Philippine Statistics Authority - National Statistical Coordination Board,"Tabaco, R."
"Reyes, C.","Tabaco, R."
"Sahn, D.","Tabaco, R."
"Stifel, D.","Tabaco, R."
"Bhushan, I.","Wangmo, Y."
Gross National Happiness Commision,"Wangmo, Y."
Ministry of Health and Education,"Wangmo, Y."
Royal Government of Bhutan,"Wangmo, Y."
World Health Organization,"Wangmo, Y."
Department of Health,"Yubia, M."
Macro International Inc.,"Yubia, M."
"Philippine Legislators' Committee on Population and Development Foundation, Inc.","Yubia, M."
United Nations Population Fund,"Yubia, M."
