Author
Maligalig, D.
Albert, J.
National Statistics Office Philippines.
National Statistics Office Philippines.
Niime, K.
Orbeta, A.
Orbeta, A.
Paderanga, N.
Pedrosa, P.
Petilo. R.
Pitriyan, P.
Robles-Vasquez, H.
David, G.
Sakellariou, C.
Sisante, J.
Sumagaysay, M.
Sumagaysay, M.
Tansel, A.
Tharmmapornphilas, R.
Tilak, J.
UNESCO Institute for Statistics.
UNICEF
US Department of Labor.
Villamil, W.
Abad, R.
Abad, R.
Abad, R.
Abad, R.
Allport, G.
Aranda, M. 
Arcury, T.
Quandt, S.
McDonald, I.
Bell, R.
Ardelt, M.
Koenig, C.
Armstrong, T.
Crowther, M.
Arroyo, D. 
Asis, M.
Atchley, R. 
Balajadia, B. 
Beit-Hallahmi, B.
Argyle, M. 
Benjamins, M.
Buck, A.
Bennet, K.
Berkman, L.
Glass, T.
Brissette, L.
Seeman, T. 
Berger, P. 
Benjamins, M. 
Musick, M.
Gold, D.
George, L. 
Blazer, D.
Palmore, E.
Braam, A.
Van Den Eeden, P.
Prince, M.
Beekman, A.
Kivela, S.
Lawlor, B.
Braam, A.
Deeg, D.
Poppelaars, J.
Beekman, A.
van Tilburg, W.
Brown, P.
Tierney, B.
Cacho, A. 
Camfield, L.
Skevington, S. 
Campbell, A.
Musick, M.
Charmaz, K.
Chen, C. 
Chen, Z.
Davey, G.
Chongson, M. 
Clark, A.
Lelkes, O.
Cohen, A.
Koenig, H. 
Coke, M. 
Coleman, P.
Coleman, P. 
Collins, A.
Goldman, N.
Rodriguez, G.
Cornwall, B.
Laumann, E.
Schumer, L.
Creber, A.
Cruz, G.
Lavares, M.
Cruz, G.
Daatland, S. 
De Mesa, J. 
Dupertuis, L.
Aidwin, C.
Bosse, R. 
Durkheim, E.
Durkheim, E.
Ellison, C.
Gay, D.
Glass, T.
Ellison, C.
Levin, J. 
Ellison, C.
Sherkat, D. 
Ferraro, K.
Fetzer Institute and National Institute on Aging Working Group.
Field, A.
Fry, P. 
Glaser, B.
Strauss, A.
Gorospe, V. 
Gripaldo, R.
Gwozdz, W.
Sousa-Poza, A.
Haley, K.
Koenig, H.
Bruchett, B.
Hank, K.
Schaan, B. 
Hennink, M. 
Hermann, A.
Hornedo, F. 
Hummer, R.
Ellison, C.
Rogers, R.
Moulton, B.
Romero, R. 
Idler, E.
Idler, E.
Idler, E.
Horvitz, A. 
Idler, E.
Kasl, S.
Idler, E.
Musick, M.
Ellison, C.
George, L.
Krause, N.
Ory, M.
Jagodzinski, W. 
Jocano, F. 
Kelley-Moore, J.
Ferraro, K. 
Kim, A. 
King, J.
Crowthe, M. 
Koenig, H.
Koenig, H.
Koenig, H.
Koenig, H.
Koenig, H.
Koenig, H.
Koenig, H.
McCullough, M.
Larson, D.
Krause, N.
Krause, N.
Krause, N.
Krause, N.
Krause, N. 
Krause, N.
Krause, N.
Krause, N.
Ingersoll-Dayton, B.
Liang, J.
Sugisawa, H.
Krause, N.
Wulff, K.
Kunkel, D. 
Lavric, M.
Flere, S.
Lelkes, O.
Levin, J.
Chatters, L.
Taylor, R. 
Levin, J.
Markides, K.
Ray, L.
Levin, I.
Taylor, T.
Lewin, F.
Licuanan, P.
Loewenthal, K.
MacLeod, A.
Cinnirella, M.
Lynch, F.
Mackenzie, E.
Rajagopal, D.
Meilbohm, M., 
Mourey, R.
Mangahas, M.
McFadden, S.
McFadden, S.
Menard, S.
Mercado, L.
Merton, R. 
Miller, A.
Hoffman, J. 
Mindel, C.
Vaughan, C. 
Mirola, W.
Moberg, D.
Moren-Cross, J.
Lin, N.
Musick, M. 
Musick, M. 
Musick, M.
Traphagan, J.
Koenig, H.
Larson, B.
National Economic and Development Authority
National Statistical Coordination Board
National Statistics Office
Natividad, J.
Cruz, G.
Norton, M.
Okulicz-Kozaryn, A.
Onken, O.
Park, H.
Murgatroyd, W.
Rayrock, D.
Spillett, M. 
Patton, M. 
Peacock, I.
Poloma, M.
Perez, A. 
Pincharoen, S.
Congdon, G.
Ramirez, A.
Lumadue, C.
Wooten, R. 
Reyes-Ortiz C.
Pelaez M.
Koenig H.
Mulligan, T.
Reyes-Ortiz, C.
Berges, I.
Raji, M.
Koenig, H.
Kuo, Y.
Markides, K.
Rule, S.
Sliyani, R.
Yadev, S.
Silverstein, M.
Cong, Z.
Sirgy, M.
Michalos, A.
Ferriss, A.
Easterlin, R.
Patrick, D.
Pavot, W. 
Snoep, L. 
Sook-Hee, C.
Sparks, M.
Zehr, D.
Painter, B.
Strawbridge, W.
Strawbridge, W.
Schema, S.
Cohen, R.
Roberts, R.
Kaplan, G.
Strine, T.
Chapman, D.
Balluz, L.
Moriarty, D.
Mokdad, A. 
Taylor, R.
Chatters, L. 
Taylor, R., Mattis, J.
Chatters, L.
Traphagan, J.
UCLA Academic Technology Services.
UCLA: Academic Technology Services, Statistical Consulting Group
Westerhof, G.
Dittmann-Kohli, F.
Thissen, T.
Wink, P.
Dillon, M. 
Wink, P.
Dillon, M.
Larsen, B.
Wong, G.
World Health Organization
Agresti, A.
Finlay, B.
Arellano, M.
Assave, A.
Balk, D.
Raymundo, C.
Bongaarts, J.
Bumpass, L.
Lu, H.
Bumpass, L.
Rindfuss, R.
Palmore, C.
Concepcion, M.
Chui, B.
Castro, L.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Hufana, L.
Cherlin, A.
Cherlin, A.
Coale, A.
Tye, C.
Concepcion, M.
Flieger, W.
Pascual, E.
Stinner, W.
Concepcion, M.
Davis, K.
Davis K.
Blake, J.
Deano, A. M.
De Guzman, E.
De Guzman, E.
De Guzman, E.
De Guzman, E.
Edin, K.
Reed, J
Ermisch, J.
Feng, W.
Quanhe, Y.
Fricke, T.
Teachman, J.
Gonzales, M.
Goode, W.
Hirschman, C.
Rindfuss, R.
Kabamalan, M.
Laurel, C.
Marquez, M.
Gaiban, G.
Marini, M.
Medina, B.
Morgan S.
Rindfuss, R.
Mensch, B.
Singh, S.
Casterline
National Statistics Office
United States Agency for International Development
ORC Macro International.
National Statistics Office
National Statistics Office
ICE Macro 
Natividad, J.
Marquez, M. 
Nguyen, L.
Ogena, N.
Ogena, N.
Kabamalan, M.
Sasota, R.
Oppenheimer, V.
Oppenheimer, V.
Oppenheimer, V.
Oppenheimer, V.
Kalmjin, M.
Lim, N.
Paganini, D.
Rindfuss, R.
Panopio, I.
MacDonald, F.
Raymundo, A.
Raymundo, C.
Raymundo, C.
Retherford, R.
Choe, M.
Rindfuss, R.
St. John, C.
Rindfuss, R.
Morgan, P.
Schoen, R.
Landale, N.
Singh, S.
Samara, R.
Smith, P.
Daniels, K.
Steele, F.
Joshi, H.
Kallis, C.
Goldstein, H.
Stinner, W.
Stockard, J.
Gray, J.
O'Brien, R.
Stone, J.
Teachman, J.
Tsuya, N. 
Upchurch, D.
Lillard, L.
Panis, C.
Van de Kaa, D.
Ventura, S.
Bachrach, C.
Weston, C.
Williams, L.
Kabamalan, M.
Ogena, N.
Willis, R.
Zablan. Z.
Andrews, F. M.
Whithey S. B.
Arber, S.
Cooper, H.
Atienza, M. E.
Beria, C. L.
Cabilo, Z. M.
Baviera, M. Y.
Delias, D. M. 
Balachandran, M.
Raakhee A. S.
Sam Sananda Raj, H.
Baltes, M. M.
Baltes M. M.
Carstensen L. L.
Barrett, A. E.
Berg, A. I.
Birren, J. E.
Schroots, J. F. 
Blazer, D.
Hughes, D. C.
George, L. K.
Booysen, F. 
Bowling, A.
Banister, D.
Sutton, S.
Evans, O.
Windsor, I.
Butler, R. N.
Bytheway, B.
Campbell, A.
Converse, P. E.
Rodgers, W. L. 
Carlos, C.
Cohen, S.
Gottlieb, B. H.
Underwood, L. G. 
Costa P. T.
McCrae R. R.
Cruz, G.
Cruz G. T.
Saito Y.
Natividad J. N. 
Cruz G. T.
Laguna, E. 
Cruz, G.
Lavares, M.
Cruz, G.
Abalos, J.
Lavares, M.
Natividad, J.
Saito, Y.
Cumming, E.
Henry, W. E.
Damianopoulos
De La Vega, S. A
Depp, C. A. 
Jeste D. V.
Diener, E.
Diener, E. 
Diener, E.
Diener, E 
Diener C.
Diener, E.
Gohm, C. L.
Suh, E.
Oishi, S.
Diener, E.
Emmons R.
Larsen, R.
Griffin S.
Diener, E.
Suh, E.
Oishi S. 
Due, P.
Holstein, B.
Lund, R.
Modvig, J.
Avlund, K. 
Eid, M.
Diener, E. 
Ellison, C. G.
Boardman, J. D.
Williams, D. R.
Jackson J. S. 
Doyle D. P.
Forehand M. J.
George, L. K.
Okun, M. A.
Landerman, R.
Gold, C. H.
Malmberg, B.
McClearn, G. E.
Pedersen, N. L.
Berg, S.
Hagerty, M.
Land, K. 
Hamashima, C. 
Havighurst, R. J.
Hobbs, F.
Damon, B. L.
Taeuber, C. M. 
Holstein, M. 
Minkler, M. 
Kannisto, V. 
Kannisto, V.
Lauritsen, J.
Thatcher A.R. 
Vaupel J. W.
Katz S.
Branch, L. G.
Branson, M. H.
Papsidero, I. A.
Beck, I. C.
Greer, D. S.
Kern M. L.
Friedman, H. S.
Kessler, E. M.
Staudinger, U. M. 
Kim, J.
Kim, E.
Lee, Y. 
Kirby, S. E.
Coleman, P. G.
Daley, D. 
Lang, F. R.
Carstensen, L. L.
Lansford, J. E.
Sherman, A. M.
Antonucci, T. C.
Larsen, R. J.
Lavares-Gonzales
Lavretsky H.
Zheng, L.
Weiner, M. W.
Mungers, D.
Reed, B.
Kramer, J. H.
Jagust, W.
Chui, H.
Mack, W. J.
Lawton, M. P.
Lee, H. A. 
Lemon, B. W.
Bengston, V. L.
Peterson, J. A. 
Lucas, R. E.
Donnellan, M. B. 
Mangahas, M.
Guererro L. L. 
Markides, K. S.
Martin, H. W. 
Mather, M.
Carstensen.
Meléndez J. C.
Tomas J. M.
Oliver A., 
Navarro, E. 
Menec, V. H. 
Minichiello, V.
Coulson.
Morris, D. C.
Morris, J. N.
Sherwood, S. 
Morrow-Howelf, N.
Hinterlong, I.
Rozario, P. A.
Tang, F. 
Mrockzek, D. K.
Spiro, A. 
Mroczek, D. K.
Kolarz, C. 
Murtagh, K. N.
Hubert, H. B. 
Nagata, A.
Yamagata, Z.
Nakamura, K.
Miyamura, T.
Asaka, A. 
Neugarten, B. L.
Havighurst, R. J.
Tobin S. S. 
Olshansky, S. J.
Carries, B. A.
Butler, R. 
Ofstedal, M. B.
Natividad, J.
Pavot, W.
Diener, E.
Perrig-Chiello, P.
Perrig, W. G.
Staehelin. H. B. 
Pheian, E. A.
Larson, E. B. 
Pinquart, M.
Soerensen, S.
Pinquart, M.
Soerensen, S. 
Quadagno, J. 
Retherford, R. D.
Choe, M. K. 
Revicki, D. A.
Mitchell, J. P.
Rowe, J. W.
Kahn R. L.
Rozation, P. A.
Morrow-Howell, N.
Hinterlong, J. E. 
Salamon, M.
Conte, V. 
Salzaman, J.
Schilling, O.
Shryock, H. S.
Siegel J. S.
Staudinger, H. M.
Flecson, W.
Steverink, N.
Westerhoft, G. J.
Bode, C.
Dittman-Kohli, F.
Stolar, G. E.
MacEntee, M. I.
Hill, P. 
Sycip, M. L.
Asis, M. M.
Luna, E. M. 
Tran, T. V.
Wright., R.
Chatters, L.
Thanakwang, K.
Soonthorndhada, K. 
United Nations
United Nations Department of Economic and Social Affairs, Population Division
Van Willigen, M.
Vaupel, J. 
Vaupel, J. W.
Lundstrom
Veenhoven, R.
Veenhoven, R.
Verbrugge L. M.
Verbrugge, L. M.
Jette, A. M.
von Heideken
Wagert, P.
Ronnmark, B.
Rosendahl, E.
Lundin-Olsson, L.
Wang, C. W.
Iwaya, T.
Kumano, H.
Suzukamo, y.
Tohimatsu, Y.
Fukuda, S.
Warr, P.
Butcher, V.
Robertson, J.
Windle, G.
Wands, R. T.
Wood, V. Wylie, M. L.
Sheafor, B. 
Zimmer, Z.
Natividad, J.
Ofstedal, M. B.
Lin, H. S. 
Akin, M.
Akman, w.
Anker, R.
Assunao, R.
Schmertmann, C.
Potter, J.
Cavenaghi, S.
Bartlema, J.
Chackiel, I.
Hill, K.
Soliz, A.
Isaacs, M.
Bindary, A.
Baxter, C.
Hollingsworth, T.
Blake, J.
Bongaarts, J.
Bongaarts, J.
Bongaarts, J.
Bulatao, R.
Bongaarts, J.
Watkins, S.
Brass, W.
Brass, W.
Jolly, C.
Brewster, K.
Rindfuss, R.
Brown, R.
Caire, N.
Coale, A.
Watkins, S.
Cochrane, S.
Cohen, B.
Cruz, C.
Davis, K.
Judith, B.
Department of Health
Ministry of Health and Education.
Royal Government of Bhutan. 
Dissanayake, L. 
Doepke, M.
Dorji, T.
El-Ghannam, A.
El-Shalakani, M.
Farooq, G.
DeGraff, D.
Feeney, G.
Feeney, G.
Feeney, G.
Herein, A.
Hinds, A.
Islam, N.
Islam, M.
Jejeebhoy, S.
Kenya Ministry of Health.
Klasen, S.
Launov, A.
Lloyd, C.
Luo, S.
Martin, T.
Mhloyi, M.
Ministry of Education.
Moultri, T.
Dorrington, R.
Moultri, T.
Dorrington, R.
National Statistics Bureau, Royal Government of Bhutan.
National Statistics Bureau, Royal Government of Bhutan.
Nguven-Dinh, Y. 
Notestein, F.
Office of the Census Commissioner, Royal Government of Bhutan. 
Ogasawara, S.
Palmore, J.
Gardner, R.
Palmore, J.
Sarmento, E.
Gultiano, S.
Peng, T.
Perez, A.
Planning Commission, Royal Government of Bhutan.
Rosenzweig, M.
Razzaque, A.
Islam, M.
Alam, N.
Schertmann, C.
Schertmann, C.
Schoen, R.
Sen, A. 
Shryock, H.
Siegel, J.
The Department of Family and Community Health
World Health Organization.
Tripathy, P.
Sarangi, K.
Udjo, E.
United Nations
United Nations
United Nations
US Department of Commerce.
Yusuf, F.
Retherford, R.
Weeks, J.
Agree, E.
Biddlecom, A.
Valente, T. 
Agree, E.
Biddlecom, A.
Chang, M.
Perez, A. 
Antonucci, T. C.
Sherman, A.
Akiyama, H. 
Atchley, R. 
Atchley, R.
Baltazar, J.
Valencia, E.
Baquilod, M. 
Biddleoom, A.
Chayovan, N.
Ofstedal, M.
Brown, A.
Cabigon, J.
Chang T. 
Chen, C.
Cicerelli, V. 
Cruz, G. 
De Guzman, E.
Go, E.
Yordan, E.
De Guzman, E.
Magracia, M.
Zablan, Z.
Domingo, L.
Domingo, L.
Domingo, L.
de Asis, M. 
Domingo, L.
Medina, B.
Domingo, M. 
Domingo, L.
Casterline, J. 
Domingo, L.
Feranil, I.
Domingo, L.
Eu, H.
Feranil, I.
Fonda, S.
Herzog, A.
Foner, A. 
Gorman, M.
Groenou, M.
van Tilburg, T. 
Grundy, E.
Hagestad, G.
Hermalin, A.
Ofstedal, M.
Hermalin, A.
Ofstedal, M.
Chang, M. 
Hooker, R.
Hooyman, N.
Kiyak, H.
Hooyman, N.
Kiyak, H.
Lee, R. 
Liang, J.
Gu, S.
Krause, N.
Litwin, H.
Litwin. H.
Lopez, M.
Kim, I.
Choe, E. 
Knodel, J.
Ofstedal, M.
Knodel, J.
Kramarow, E. 
Martin, L. 
Mason, K.
Medina, B.
Myers, G.
Eggers, M. 
Narvaez, C.
Natividad, J.
Cruz, G. 
National Statistics Office
National Statistics Office
ORC Macro
National Statistics Office
Okamura, J.
Peterson, J. T. 
Peterson, J. T. 
Pollack, O. 
Quadagno, J.
Republic of the Philippines
Retherford, K. D.
Choe, M.
Samonte
Sarmiento, E. M. 
Sluzki, C. E.
Suh, M. K. 
Sugisawa, H.
Liang, J.
Liu, X. 
Unger, J. B.
United Nations
United Nations
United Nations
Willimans, L.
Domingo, L.
Wolchik, S. A.
Beals, J.
Sandier, I. 
World Health Organization
Zablan, Z. C.
Abassi, N.
Ifran, M.
Abrera-Mangahas, M.
Aganon, M.
Andres, T. 
Anunciason, R. 
Arellano-Carandang, M.
Asis, M.
Battistella, G.
Conaco-Gastardo, M.
Battistella, G.
Bautista, M.
Beltran, R.
Choe, M. K.
Hatmadji, S. H.
Cruz, V. 
Carino, B. 
Carino, B. 
De Jong, G. F.
Fawcett, J. T.
Gardner, R.
De Jong, G. F. 
Go, E. 
Go, E. 
Go, E. 
Guerrero, S.
Ballescas, M.
Hirsch, T. 
Hugo, G. 
Jampaklay, A. 
Juco, E.
Kandel, K.
Lu, Y. 
Maccoby, E. E.
Martin, S. 
Maccoby, E. E.
Massey, D.
Opiniano, J.
Olimova, S.
Bose, I. 
Poster, M.
Perez, A.
Patacsil, P.
Pertierra, R.
Prigol, P. H. 
Ramirez, M. 
Retherford, R.
Choe, M.
Rutter, M.
Siddiqui, A. 
Torres, A.
Russell, S. S.
Shryock, H.
Soriano, M.
Sto. Tomas, P.
Tan, E. 
Vasquez, N.
Yeoh, B.
Zhao, H.
Catholic Bishops Conference of the Philippines-Episcopal Commission on Migrants and Itinerant People
Episcopal Commission for the Pastoral Care of Migrants and Itinerant People
World Bank
Save the Children
National Statistics Office
Martin, S.
Commission on Filipinos Overseas
Overseas Workers Welfare Administration
Philippine Migrants Rights Watch
Philippine Overseas Employment Administration
Alcantara, A.
Asian Population Studies
Balisacan, A.
Hill, H.
Barclay, G.
Bauer, J.
Bisgrove, E.
Viswanathan, M.
Caldwell, J.
Caldwell, P.
Castillo, G. 
De Guzman, E.
Go, E.
Yordan, E. 
Denton, F. T.
Ostry, S. 
Darand, J. D. 
Eviota, E. 
Farooq, G. M.
Flieger, W.
Cabigon, J.
Fullerton, H. N.
Garfinkle, S.
Gnasekharan, K. S.
Haines, M.
Herrin, A.
Pernia, E.
Hussmanns, R.
Jaffe, A. J.
Stewart, C.
Joint Economic Committee of the US
Kanako, T.
Kono, S.
Kpedepko, K. 
Kpedepko, K.
authors
Kupinsky, S.
Morada, H. B.
Kim, Y. 
National Statistics Office
Nazaret, F.
Joint Economic Committee of the US
Ruzicka, L. T.
Salleh, A.
Salleh, A.
Seghal, J. M.
Takala, J.
United Nations
United Nations
Weeks, J.
Wolfbein, S. L.
Wool, H. 
Women Development Service
Woytinsky, W. S.
Adair, L.
Adams, L. S.
Cabigon, J.
Carman, B.
Domingo, L.
Herrin, A.
Pillsburry
Agresti, A.
Finlay, B.
Alarcon, M.
Villalpando, S.
Fajardo, A.
Alcantara, A.
Rodriguez, M.
Cabigon, J.
Anderson, M.
Cabigon, J.
Cabigon, J.
Caldwell, J.
Caselli, G.
Vallin, J.
Wunsch, G. 
Chen, Y. 
Colley, J.
Costello, M.
Jensen, E.
Lleno, L.
Da Vanzo, J.
Habicht., J.
Dayrit, E.
Deb, S. 
Department of Health
Garenne, M.
Ronsmans, C.
Campbell, H. 
Glenzen, W.
Alpers, M.
Kartasasmita C. 
Kaushik, P. 
Leeder, S. 
Leowski, J.
Mishra V.
Retherford, R.
Mosley, W.
Vallin, J.
Lopez, A.
Behm, H. 
Mosley, W.
Chen, L.
National Statistics Office
National Statistics Office
Department of Health
Macro International Inc. 
National Statistics Office
Department of Health
Macro International Inc.
Omariba, D. 
Omran, A. 
Palloni A.
Tienda, M.
Philippine Health Statistics
Popkin, B.
Adair, L.
Akin, J.
Black, R.
Briscoe, J.
Flieger, W.
Pungrassami, P.
Rahman M.
Rahman, A.
Rossi-Espagnet, A.
Goldstein, G.
Tabibzadeh, I. 
Ruutu, P.
Lucero, M.
Lankinen, K. 
Steinhoff, M.
Tupasi, T.
Velmonte, M.
Sanvictores, M.
Abraham, L.
de Leon, L.
Tan, S.
Miguel, C.
Saniel, M. 
UNICEF
World Health Organization
Vallin, J.
Caselli, G.
Surault, P.
Cassefli, G.
Vallin, J.
Wunsch, G.
World Health Organization
World Health Organization
World Health Organization
World Health Organization
Yoon, P.
Zablan, Z.
Zaman, K. 
Abejo, S.
Go, E.
Cruz, G.
Marquez, M.
Adongo, P.
Phillips, J.
Bianka, F.
American Society for Reproductive Medicine
Appleton, S.
Babycentre
Becker, G.
Bernhard, M.
Uddin, M.
Bertrand, J.
Magnani, R.
Hardee, K.
Angle, M.
Birdsall, N.
Boserup, E. 
Caldwell, J.
Gaminiratne, K.
Caldwell, P.
De Silva, S.
Caldwell, B.
Weeraratne, N.
Silva, P.
Caldwell, J.
Ware, H.
Caldwell, J.
Casterline, J.
Palabarica-Costello, M.
Chamratrithirong, A.
Stephen, E.
Chaudhary, A.
Choe, M.
Park, I.
Choe, M.
Zablan, Z.
Gealogo R.
Kantner, A.
Cochrane, S.
Guilkey, D.
Concepcion, M.
Coale, A.
Hoover, E.
Da Vanzo, J.
Ann, R.
Othman, R.
Davis K.
Blake J.
De Guzman, E.
Dreze, J.
Sen, A.
Easterlin, R.
Crimmins, E.
Easterlin, R.
Economic Commission for Africa
Ekouevi, K.
Adepolu, A.
ESCAP
Fapohunda, E.
Todaro, M.
Feyisetan, B.
Ainsworth, M.
Gajanayake, I.
Gilis, M.
Perkins, D.
Roemer, M.
Snodgrass, D.
Hansen, S.
Isiugo-Abanihe, U.
Jain Anrudh, K.
Khan, M.
Rahman, M.
Laing, J.
Livi-Bacci, M.
Lesthaeghe, R.
Jolly, C.
Limanonda, B.
Lindert, P.
Lucas, D.
Malthus, T.
Mason, K.
Mauldin, W.
Merrick, T.
Molyneaux, J.
Lerman, C.
Pandi, E.
Wibisono, S.
National Statistical Coordination Board
National Statistical Coordination Board
National Statistics Office
National Statistics Office, Department of Health
Macro International Incorporated
National Statistics Office
National Research Council
Committee on Population.
Thang, N.
Anh, D.
Obadan, M.
Odusola, A.
Odusola, A.
Oyediran, K.
Bogunjoko, J.
Adeyemo, J.
Odusola, A.
Oyediran, K.
Bogunjoko, J.
Adeyemo, J.
Olusanya, P.
Orbeta A. Jr.
Orbeta A.
Pernia, E 
Parado, J.
Bulatao, R.
Perez, A.
Philips, J.
Po, A.
Potter, J.
Mojarro, O.
Nunez, L.
Rele, J.
Kapoor, P.
Khan, M.
Reyes, C.
Valencia, L.
Rindfuss, R.
Swicegood, C.
Bumpass, L.
Salaff, J.
Satyajeet N.
Sureender, S. 
Shah, N.
Shah, M.
Radovanovic, Z.
Somboonsuk, A.
Xuto, N.
Gray, R.
Grossman, R. 
Stewart, F.
Teitelbaum, M.
Westoff, C.
Jones, E.
World Health Organization
World Bank
Young, A.
Afifi, A.
May, S.
Clark, V
Asian Development Bank
Cruz, G.
Natividad, J.
Saito, Y.
Gonzales, M. 
Demographic and Health Surveys Program 
Demographic and Health Surveys Program 
Demographic Research and Development Foundation
University of the Philippines Population institute
Demographic Research and Development Foundation
University of the Philippines Population institute
Department of Social Welfare and Development.
Dutton, W.
Blank, G. 
Elliott, A. C.
Woodward, W. A. 
Ericta, C.
Fabian, E.
Ericta, C.
Luis, J.
Fabio, M.
Choi, Y.
Bird, S. 
Falkingham, J.
Namazie, C.
Filmer, D.
Pritchett, L. 
Filmer, D.
Pritchett, L. 
Fry, K.
Firestone, R.
Chakraborty, N.
Galperin, H.
Mariscal, J.
Barrantes, R.
Institute Nacional De Estadistica
Lister, R.
National Economic and Development Authority.
Natividad, J.
Oxford Poverty
Human Development Initiative
Oxford Poverty
Human Development Initiative
Philippine Statistics Authority
Philippine Statistics Authority
Reyes, C.
Tabuga, A.
Reyes, C.
Valencia, L
Rutstein, S.
Johnson, K.
Rutstein, S. 
Rutstein, S. 
Rutstein, S.
Staveteig, S.
Sahn, D.
Stifel, D.
Sahn, D.
Stifel, D.
Siegel, J.
Swanson, D. 
Social Weather Station
Solomon-Fears, C.
World Bank
Ahmed, Hassali
Aziz.
Balk, D.
Lahiri, S. 
Bankole, O.
Mabekoje, O.
CGPH
Fako, T. T.
Kangara, L. W.
Forcheh, N. 
Genberg, B. L.
Hlavka, Z.
Konda, K. A.
Maman, S.
Chariyalertsak, S.
Chingono, A.,
Glick, P.
Sahn, D. E.
Hazaraka, I. 
Health, C. F.
Hochbaum, G. 
ICDDR-B. 
Khan, M. A.
Kiragu.
Kumar, A.
Lal, P.
Li, X.
Lin, C.
Gao, Z.
Stanton, B.
Fang, X.
Yin, Q
Liamputtong, P.
Haritavorn, N.
Kiatying-Angsulee, N. 
Meena, S. P.
MoH.
MoH.
MoH.
Mondal, M. N.
Rahman, M. M.
Rahman, M. O.
Akter, M. N.
Neupane, S.
Nichols, D.
Thapa, S. 
Ochako, R.
Ulwodi, D.
Njagi, P.
Kimetu, S.
Onyango, A. 
Odu, O. O.
Ogunbodede, E. O. 
Omoyeni, S. T.
Akinyemi, A. I.
Fatusi, A.
Ongunya, I.
Agak.
Panda, S.
Wangdi, C.
Mukherjee, D., 
Chowdhury, L.
Wangdi, S.
Pahari, S.
Rao, D.
Angell, T.
Lam, C.
Corrigan, P.
Robert J.
Magnani, A. M. 
Rwenge, M. 
Sarkar, P. 
Tagoe, M.
Aggor, R. 
Tawil, O.
Vaster
Reilly. 
UNAIDS.
UNAIDS.
UNAIDS.
UNICEF
Ahmadi, A.
Iranmahboob, J.
Al-Jawadi, A. A.
Al-Bakry, D. H.
Bhushan, I.
Bizuneh, G.
Shiferaw, S.,
Melkamu, Y. 
Boslaugh, S.
Bradley, S. E. K.
Croix, T. N.
Fishel, J. D.
Westoff, C. F. 
Casterline, J. B.
Sinding, S. W. 
Central Intelligence Agency
Dine, G.
Eser, E.
Cihan, U. A.
Ay, S.
Pala, T.
Ergor, G.
Ozcan, C. 
Dixon-Mueller, R.
Germain, A. 
Druk Travel Service.
Fischbein, M.
Ajzen, I.
Gross National Happiness Commision
Gross National Happiness Commision
Hailemariam, A.
Haddis, F. 
Igwegbe, A. O.
Ugboaja, J. O.,
Monago, E.
Ikamari, L. D.
Lwanga, C. K. 
Kamal, S. M. M. 
Korra, A.
Ministry of Health
Ministry of Health and Education
Ministry of Health and Education
Ministry of Works and Human Settlement
National Statistical Bureau
National Statistical Bureau
National Statistical Bureau
National Statistics and Evaluation Office
ORC Macro
Office of Census Commission
Omwango, M. O.
Khasakhala, A. A.
Pelzom, K.
Phuong, N. N. 
Riyami, A. A., Afifi, M.
Mabry, R. M.
Robey, B., Ross, J.
Bhushan, I. 
Royal Government of Bhutan
Royal Government of Bhutan
UNFPA
USAID
Westoff, C. F.
Westoff, C. F.
Westoff, C. F.
Westoff, C. F.
Westoff, C. F.
Westoff, C. F.
Westoff, C. F.
World Health Organization
World Health Organization
Agarwal, T.
Agresti, A.
Finlay, B.
Asian Development Bank
Babalola, S.
Fatusi, A.
Chakraborty, N.
Demographic Research and Development Foundation, Inc.
Department of Health
Dilip, T. R.
Mishra, U. S.
Falkingham, J.
Gage, A.
Calixte, M.
Graczyk, K.
Habibov, N.
Fon, L.
Hazarika, I.
Hoque, M. N.
Jayaraman, A.
Kinzie, B.
Gomez, P.
Koenig, M.
Magadi, M.
Matsumura, M. 
Gubhaju, B.
Mekonnen, Y.
Mekonnen, A.
National Statistical Coordination Board
National Statistics Office
ICE Macro
National Statistics Office
National Statistics Office
ORC Macro
National Statistics Office
Department of Health
Macro International Inc.
National Statistics Office
Macro International Inc. 
Nisar, N.
White, F.
Ochako, R.
Olvena, V.
Rogan, S.
Philippine Legislators' Committee on Population and Development Foundation, Inc.
Philippine Legislators' Committee on Population and Development Foundation, Inc.
Philippines Midterm Progress Report on the Millennium Development Goals
Philippine NGO Council for Population Health and Welfare Inc.
Rahman, M.
Raj, P.
Rajasekhar, K.
Reynolds, H. 
Save the Children
Sanyukta, M. 
Shaikh, B. 
Hatcher, J. 
Sines, U.
Short, S.
Zhang, F.
Stephenson, R. 
Tonn, C.
United Nations Children's Fund
United Nations Children's Fund
United Nations Children's Fund
United Nations Development Programme
United Nations Population Fund
United States Agency for International Development
World Health Organization
World Health Organization
World Health Organization
World Health Organization
United Nations Children's Fund
United Nations Population Fund
The World Bank
World Health Organization
World Health Organization 
World Health Organization
World Health Organization 
World Health Organization 
YouthNet 
