Author
Xenos, P.
Raymundo, C.
Diaz, G.
Abu-Habib, I.
Aris, M.
Hutt, M.
Arthur, E. D.
Power, O.P.W.
Arthur, S.
Zarb, G.
Asian Development Bank.
Baquer, A.
Sharma, A.
Barnes, C.
Oliver, M.
Barton, L.
Barnes, C.
Bartlett, S.
Batavia, A.I.
Bhanushali, K 
Bond, G.R
Dietzen, L.
McGrew, J.
Miller, L. 
Bookman, A.
Harrington, M.
Pass, L.
Reisner, E.
Bowe, F.
Brandt, E.N.
Pope, A.M.
Brault, M.W.
Bhutan Youth Development Fund
Brown, S.
Butterworth, J.
Gilmore, D.S.
Kiernan, W.E.
Schalock, R. 
China Disabled Persons Federation.
Cline, A.
Dalen, M.
Ministry of Education.
Drak-Tsho Vocational Training Centre for Disabled
Dunlop, D.D.
Hughes, D.S.W.
Mannheim, L. M.
Elwan, A.
Emiliani, P.L.
Stephanidis, C.
ESCAP
Fallon, A.
Fried, L. P.
Guralnike, J. M.
Fries, J.M.
Singh, G.
Morfeld, D.
Hubert, H.B.
Lone, N.E.
Brown, B.W.
Gallagher, H.
Groce, N.E.
Gross National Happiness Commission
Guralnik, J,M.
Kaplan, G.A.
Guralnik, J.M.
LaCroix, A.Z.
Abbott, R.
Berkman, L.F.
Satterfield, S.
Evans, D.A.
Wallace, R.B.
Helander, E.
Mendis, P.
Nelson, G.
Goerdt, A.
International Labor Organization
Kaye, H.S.
Kroll, K.
Klein, E.L.
Kuensel
Lapinsky, S. 
Lawton, M. P.
Brody, E.M.
Leicester, L.
Lovell, T.
Lewis, C.
Sygall, S.
Loaiza, E.
Cappa, C.
Loprest, P.
Maag, E.
Madans, J.
McDonnell, JJ.
Ministry of Health
Ministry of Health
Mont, D.
The Multicultural Disability Advocacy Association
Nagi, S.Z.
Nagi, S.Z.
Nagi, S.Z.
National Statistics Bureau
National Statistics Office, Philippines
Oliver, M.
Paudel, S.
Population and Housing Census of Bhutan
Royal Government of Bhutan
Population and Housing Census of Bhutan 
Royal Government of Bhutan 
RADAR Evidence, Employment Committee
Schalock, R. L.
Scheer, J.
Groce, N.
Stance, S.
Swain, J.
French, S.
Cameron, C.
Taylor, S. J.
United Nations
United Nations
United Nations
Verbrugge, L. M.
Jette, A.M. 
Waidmann, T.
Freedman, V. A.
World Health Organization
World Health Organization
World Health Organization
World Health Organization
Wiman, R.
World Bank
Agresti, A.
Barbara, F.
Angsioco, E.
Arugaan ng Kalakasan.
Arugaan ng Kalakasan.
Bates, L.
Bawah, A.
Biddlecom, A.
Casterline, J.
Perez, A.
Biddlecom, A.
Fapohunda, B.
Bongaarts, J.
Bongaarts, J.
Bruce, J.
Caragay, J.
Cayabyab, M.
Casterline, J.
Perez, A.
Biddlecom, A.
Casterline, J.
Sinding, S.
Casterline, J.
Clark, C.
Commission on Population.
Demographic Research and Development Foundation, Inc.
De Dios, A.
Dixon-Mueller, R.
Germain, A.
Dixon-Mueller, R.
Ellsberg, M.
Ellsberg, M.
Erulkar, A.
Ezeh, A.
Fanslow, J.
Garcia-Moreno, C.
Guerrero, S.
Sobritchea, C.
Guerrero, S.
Penano-Ho, L. 
Haile, A.
Enqueselassie, F.
Heise, L.
Hindin, M.
Adair, L.
Kishor, S.
Johnson, K.
Koenig, M.
Koenig, M.
Lasee, A.
Becker, S. 
Mahmoud, N.
Ringheim, K.
National Statistics Office
Macro International Inc.
National Statistics Office
ICE Macro.
Nortman, D.
Pallito, C.
Ocampo, P.
Parish, W.
Pedroso, L.
Philippine Commission on Women. 
Reddy, P.
Sambisa, W.
Schuler, S.
Islam, F.
Sing S.
Stephenson, R.
Stephenson, R.
United Nations Development Fund for Women.
Walker, L.
Watts, C.
Mayhew, S.
Weston, C.
Weston, C.
Pebley, A.
Weston, C.
Weston, C.
Weston, C.
Bankole, A.
Wolf, B.
World Health Organization.
Zablan, Z.
Yabut, B.
Acsadi, G.
Johnson-Acsadi, G.
Agresti, A.
Arellano, M. K .
Bureau of Secondary Education
Castillo, G. T.
Center for Disease Control of the US
Condo-Agudelo, A.
Beliza, J. M.
Lammers, C.
Cruz, C. 
Cruz, G.
Department of Health
The DHS Program
Department of Education
Dickson, R.
Fullerton, D.
Demographic Research and Development Foundation
University of the Philippines Population Instiute.
Driscoll, A. 
Elder, Glen H. Jr.
Elder, Glen H. Jr.
Ellis, B. J.
Bates, J. E.
Dodge, K. A.
Fergusson, D. M.
Horwood, L.J.
Pettit, G. S.
Woodward, L.
Encyclopedia Britannica
Fergusson, D. M.
Horwood, L. J.
FOCUS on Young Adults
Gilchrist, L. D.
Schinke, S. P.
Forsyth, C. J.
Palmer, C.E.
Handbook of Biological Statistics
Harrison, K. A.
Rossiter, C. E.
Chong, H.
Heilborn, M. L.
Brandaio, E. R.
Cabral, C. D.
Hoffman, S.D.
Hogan, D.P. 
Lawlor, D. A.
Shaw, M. 
Lee, D.
Lotivio, Z. A.
Marquez, M. P. N. 
Marquez, M. P. N. 
Mazur, L. A.
Natividad, J.
National Statistics Office
Macro International Inc.
National  Statistics Office
Department of Health
Macro International Inc.
National  Statistics Office
OCR Macro
National  Statistics Office
ICF Macro
Neal. S.
Matthews, Z.
Frost, M.
Fogstad, H.
Camacho, A.
Laski, L. 
National Statistics Office
O`Grad, K.
Pedroso L. M.
Sasota, R. S. 
Perez, A. A., III.
Perez, A. E.
Philippine Country Guide
Philippine Statistics Authority
ICE International
Philippine Statistics Authority
Punongbayan, J.C. 
Pugh, M.
De Maris, A.
Giordano, P. C.,
Groat, H. T.
Remy, L. L.
Clay, T.
Oliva, G. 
Rich-Edwards, J.
SPSS
Senderowitz, J.
Paxman, J. M.
Scally, G.
Smith, S.
Stuart, E.
Suellentrop, K.
United Nations Population Fund
United Nations Population Fund
World Health Organization
World Health Organization
World Health Organization
Anderson, D. 
Bongaarts, J.
Bongaarts, J.
Potter, R. 
Bongaarts, J.
Bulatao, R.
Casterline, J.
Bongaarts, J.
Bongaarts, J.
Watkins, S. 
Brown, R.
Norville, C. 
Cabigon, J.
Cabigon, J.
Caldwell, J. 
Casterline, J.
Domingo, L.
Zablan, Z. 
Central Bureau of Statistics
Ministry of Health
ORC Macro.
Cleland, J.
Wilson, C. 
Costello, M.
Casterline, J.
Davis, K.
Blake, J. 
De Guzman, E. 
Engracia, L.
Raymundo, C.
Casterline, J. 
Dissanayake, L. 
Easterlin, R.
Engracia, L.
Herrin, A. 
Engracia, L.
Raymundo, C.
Casterline, J. 
Go, E.
Palmore, J.
Tabije, T.
Reolalas, A. 
Hajnal, J. 
Herrin, A.
Islam, N.
Islam, M. 
Jejeebhoy, S.
Juarez, F.
Kabamalan, M.
Kabamalan, M.
Laing, J. 
LLoyd, C. 
Luo, S.
Maitra, P. 
National Statistics Office
ORC Macro
National Statistics Office
Department of Health
Macro International Inc. 
National Statistics Office
Macro International Inc. 
Natividad, J.
Marquez, M. 
Raymundo, C.
Cruz, G.
Notestein, F.
Ogena, N.
Reolalas, A.
Ogena, N.
Kabamalan, M.
Orbeta, A. 
Peng, T. 
Perez, A.
Potter, J.
Schmertmann, C.
Cavenaghi, S.
Pritchett, L. 
RAND Abstracts
Raymundo, C.
Raymundo, C.
Raymundo, C.
Raymundo, C.
Perez, A.
Nazario, M.
Mason, K.
Raymundo, C.
Raymundo, C.
Cruz, G.
Razzaque, A.
Islam, M.
Alam, N.
Rosenzweig, M. 
Rossman, I. 
Sasota, R.
Sen, A.
Sibanda, A.
Susheela S.
Sedgh, G. 
Singh, S. 
Stover, J. 
United Nations 
Zlidar, V.
Gardner, R. 
Aliya H.
Lubna, S.
Andersen L. E.
Anh, D.
Australian Bureau of Statistics
Banerjee, B.
Balliqued J. M.
Bell, M.
Salut, M.
Bhutan Broadcasting Service Cooperation
Bhutan Today
Central Statistical Organization
Central Statistical Organization
Chen, Y.
Jin, Zhe, G.
Yue, Y.
Conghe S,
Jackson W. L.
Liming, Z.
Xingfeng, X.
Connel, J.
Dasgupta, B.
Laishley, R.
Lipton, M.
De Haan, A.
Deshingkar, P.
Grimm S.
Deshingkar, P.
Dev, S. M.
Everson, R. E.
Diniz, A. M.
Santos, R. O.
Economic and Social Commission for Asia and the Pacific
Essang S. M.
Mabawonku, A. F.
Feldman, S.
Finley, S.
Gazdar, H.
GHK/IIED.
Grace, J. 
Gross National Happiness Commission
Guest, P.
Guest, P.
Guest, P.
Haque, S.
Hare, D.
Hill, P.
Hossain, M. Z.
Hugo, G. J.
International Organization for Migration
International Organization for Migration.
KC, B. K.
Kuensel Corporation
Kundu, A.
Lee, E. S.
Lewis, W. A.
Lipton, M.
Lucas, R. E.
Lusome, R.
Shagat, R. B.
Massey, D.
Arango, J.
Hugo, G.
Kouaouci, A.
Pellegrino, A.
Taylor, J. 
Mendola, M.
Mines, R.
de Janvry, A. 
Ministry of Agriculture
Nachmias, C. F.
Nachmias, D.
National Statistics Bureau
National Statistics Bureau
National Statistics Bureau
Oberai A. S.
Singh, H. K. (n.d.)
Office of the Census Commissioner
Pagoso C. M.
Montana, R. A. 
Ping, H.
Planning Commission
Rainer, H.
Siedler, T.
Ranis, G.
Fei, J. 
Ravenstein, E. G.
Rogaly, B.
Coppard, D.
Rafique, A.
Rana, K.
Sengupta, A.
Skeldon, R.
Rosenzwig, M.
Sekhar, T. V.
Sherubtse College 
Singelmann, J. 
Sjaastad, L. A.
Skeldon, R.
Srivastava, R.
Bhattacharyya, S.
Stark, O.
Stark, O.
Bloom, D.
Todaro, M. P.
Trashigang Dzongkhag
United Nations
Waneschneider, T.
Mishra, P. 
Winters, P.
Janvry, A.
Sadaoulet, E.
Yao, Y.
Zhao, Y.
Zhao, Y.
Achenbum, W. A.
Bengtson, V.
Aljunid, S. M.
Antonucci, T.
Baltes M. M
Carstensen, L. L
Baltes M. M.
Smith, J.
Barendregt, J.
Barendregt, J. J.
Bonneux, L.
Van der Maas, P.
Bengtson V. L. 
Shale, K. W.
Birren , J.
Schroots, J. 
Bone M. R.
Bebbington, A. C.
Jagger, C.
Morgan, K.
Nicolas, G.
Boshuizen H.
Parenboom, R.
Brouard, N.
Lievre, A.
Cabigon, J.
Cabigon, J.
Flieger, W.
Camacho, T. C.
Strawbridge, W. J.
Cohen, R. D.
Kaplan, G. A.
Camagay, D.
Casterline, J. B.
Williams, L. 
McDonald, P.
Crimmins, E.
Crimmins, E. M.
Cambois, E. 
Crimmins, E. M.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Crimmins, E.
Saito, Y.
Reynolds, S.
Crimmins, E.
Hayward, M. D.
Saito, Y.
Crimmins, E. M
Hayward, M. D.
Saito, Y.
