authors,cited by
"Ewbank, D.","Alcantara, A."
"Gribble, J.","Alcantara, A."
"Farren, M.","Alcantara, A."
"Foster, S.","Alcantara, A."
"Gultiano, S.","Alcantara, A."
"Hanmer, L.","Alcantara, A."
White.,"Alcantara, A."
"Hill, K.","Alcantara, A."
"Hill, K.","Alcantara, A."
"Pebley, A.","Alcantara, A."
"Hobcraft, J.","Alcantara, A."
McDonald J.,"Alcantara, A."
Rutstein S.,"Alcantara, A."
"Huffman, S.","Alcantara, A."
Lamphere B.,"Alcantara, A."
"Koenig, M.","Alcantara, A."
Phillips J.,"Alcantara, A."
"Campbell, O.","Alcantara, A."
"Souza, S.","Alcantara, A."
"Kunitz, S.","Alcantara, A."
"Legrand, T.","Alcantara, A."
"Phillips, J.","Alcantara, A."
"Machado, C.","Alcantara, A."
Hill K.,"Alcantara, A."
"Madise, N.","Alcantara, A."
"Banda, E.","Alcantara, A."
"Benaya, K.","Alcantara, A."
Martin L.,"Alcantara, A."
MIMAP Project Updates.,"Alcantara, A."
"Mosley, W.","Alcantara, A."
"Chen, L.","Alcantara, A."
"Mosley, W.","Alcantara, A."
National Statistics Office,"Alcantara, A."
United States Agency for International Development,"Alcantara, A."
ORC Macro.,"Alcantara, A."
"Norusis, M.","Alcantara, A."
"Oloo, J.","Alcantara, A."
"Palloni, A.","Alcantara, A."
"Park, C.","Alcantara, A."
"Cabigon, J.","Alcantara, A."
"Zafra, J.","Alcantara, A."
"Kantner, A.","Alcantara, A."
Jose M.,"Alcantara, A."
"Reid, A.","Alcantara, A."
Sastry N.,"Alcantara, A."
"Stroobant, G.","Alcantara, A."
"Retherford, R.","Alcantara, A."
"Choe, M.","Alcantara, A."
Retherford R.,"Alcantara, A."
"Choe, M.","Alcantara, A."
"Thapa, S.","Alcantara, A."
"Gubhaju, B.","Alcantara, A."
"Ruzicka, L.","Alcantara, A."
"Sawyer, D.","Alcantara, A."
"Shryock, H.","Alcantara, A."
"Siegel, J.","Alcantara, A."
"Schultz, P.","Alcantara, A."
"Taucher, E.","Alcantara, A."
United Nations.,"Alcantara, A."
The United Nations Children's Fund. ,"Alcantara, A."
"Venkatacharya, K.","Alcantara, A."
"Teklu, T.","Alcantara, A."
"Ware, H.","Alcantara, A."
"West, S.","Alcantara, A."
White M.,"Alcantara, A."
Preston S.,"Alcantara, A."
"Vogl, T.","Alcantara, A."
Zaba B.,"Alcantara, A."
David P.,"Alcantara, A."
"Zablan, Z.","Alcantara, A."
"Abalos, J.","Ogena, A."
"Ahlburg, D.","Ogena, A."
Jensen E.,"Ogena, A."
"Perez, A.","Ogena, A."
"An, C.","Ogena, A."
"Haveman, R.","Ogena, A."
"Wolfe, B.","Ogena, A."
Balk. D.,"Ogena, A."
"Raymundo, C.","Ogena, A."
"Bane, M.","Ogena, A."
"Ellwood, D.","Ogena, A."
"Becker, G.","Ogena, A."
"Bennett, N.","Ogena, A."
"Bloom, D.","Ogena, A."
"Miller, C.","Ogena, A."
"Bongaarts, J.","Ogena, A."
"Bumpass, L.","Ogena, A."
"Lu, H.","Ogena, A."
"Bulatao, R.","Ogena, A."
"Card, J.","Ogena, A."
"Wise, L.","Ogena, A."
"Castillo, P.","Ogena, A."
"Cabigon, I.","Ogena, A."
"Hufana, L.","Ogena, A."
"Casuga, J.","Ogena, A."
"Cherlin, A. ","Ogena, A."
"Furstenberg Jr., F.","Ogena, A."
"Cherlin, A.","Ogena, A."
"Crowder, K.","Ogena, A."
"Teachman, J.","Ogena, A."
"De Vaus, D.","Ogena, A."
"Deal, L.","Ogena, A."
"Holt, V.","Ogena, A."
Demographic Research and Development Foundation,"Ogena, A."
University of the Philippines Population Institute,"Ogena, A."
"Demographic Research and Development Foundation, Inc.","Ogena, A."
Department of Health.,"Ogena, A."
"Driscoll, A.","Ogena, A."
"Hearn, G.","Ogena, A."
"Evans, I.","Ogena, A."
"Moore, K. ","Ogena, A."
"Sugland, B.","Ogena, A."
"Call, V.","Ogena, A."
"Driscoll, A.","Ogena, A."
"Elder, G., Jr.","Ogena, A."
"Ermisch, I.","Ogena, A."
"Pevalin, D.","Ogena, A."
"Fergusson, D.","Ogena, A."
"Woodward, L.","Ogena, A."
"Ford, K.","Ogena, A."
"Sohn, W.","Ogena, A."
"Lepkowski, J.","Ogena, A."
"Foster, E.","Ogena, A."
"Jones, D.","Ogena, A."
"Hoffman, S.","Ogena, A."
"Garfinkel, I.","Ogena, A."
"Garfinkel, I.","Ogena, A."
"McLanahan, S.","Ogena, A."
"Robins, P.","Ogena, A."
"Gonzales, M.","Ogena, A."
"Graefe, D.","Ogena, A."
"Lichter, D.","Ogena, A."
"Granau, R.","Ogena, A."
"Hamilton, B.","Ogena, A."
"Martin, J.","Ogena, A."
"Ventura, S.","Ogena, A."
"Sutton, P.","Ogena, A."
"Menacker, F.","Ogena, A."
Hannah Cartwright for Global Justice Initiative.,"Ogena, A."
"Hardy, J.","Ogena, A."
"Astone, N.","Ogena, A."
"Brooks-Gunn, J.","Ogena, A."
"Shapiro, S.","Ogena, A."
"Miller, T.","Ogena, A."
"Harris, B.","Ogena, A."
"Rushton, W.","Ogena, A."
"Kreyenfeld, M.","Ogena, A."
"Lappegard, T.","Ogena, A."
"Berghammer, C.","Ogena, A."
"Keizer, R.","Ogena, A."
"Haveman, R.","Ogena, A."
"Wolfe, B.","Ogena, A."
"Pence, K.","Ogena, A."
"Henshaw, S.","Ogena, A."
"Hobcraft, I. ","Ogena, A."
"Kiernan, K.","Ogena, A."
"Hofferth, S.","Ogena, A."
"Reid, L.","Ogena, A."
"Mott, F.","Ogena, A."
"Hoffman, S.","Ogena, A."
"Foster, E.","Ogena, A."
"Furstenberg, F. Jr.","Ogena, A."
"Hoffman, S.","Ogena, A."
"Foster, E. ","Ogena, A."
"Hoffman, S.D. ","Ogena, A."
"Icao, A.","Ogena, A."
International Union for the Scientific Study of Population,"Ogena, A."
"Jones, I.","Ogena, A."
"Mosher, W.","Ogena, A."
"Daniels, K.","Ogena, A."
